,Title,Year,Genre,Link,Image_name,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,FILMING LOCATION,VFX,ACTORS
0,THE FALL,2006,"Drama, Adventure, Fantasy",https://shotdeck.com/assets/images/stills/thumb/small_S30G7LLA.jpg,small_S30G7LLA, Tarsem Singh, Colin Watkinson, Ged Clarke, Eiko Ishioka, Robert Duffy, Didier Le Fouest,0.0, 1920s," Mixed, Desaturated, Green", 1.85 - Spherical, Film - 35mm, Extreme Wide," Aerial, Establishing shot", Wide, Left heavy, Hard light, Daylight, Day, Exterior, Location, River, ... California > Los Angeles," Moviecam Compact, Arri 535 / 535B, Arri 435 / 435ES, Arriflex 35 IIIc", Zeiss Ultra Prime," 5201/7201 Vision 2 50D, 5205/7205 Vision 2 250D, 5212/7212 Vision 2 100T, 5218/7218 Vision 2 500T",,,
1,UNDER THE BANNER OF HEAVEN,2022,"Crime, Drama, Mystery",https://shotdeck.com/assets/images/stills/thumb/small_09CC2OIV.jpg,small_09CC2OIV, Dustin Lance Black, Craig Wrobleski, Renee Read, Joseph La Corte, Justin Lachance, Roy Vasich,, 1980s," Cool, Blue", 2.00 - Spherical, Digital, Extreme Wide," Establishing shot, High angle", Medium, Center, Hard light, Daylight, Day, Exterior, Location, Road, ... Utah > East Rockwell,, Zeiss Supreme Prime Radiance,, ... Canada > Alberta,,
2,EL NORTE,1983,Drama,https://shotdeck.com/assets/images/stills/thumb/small_IANHJ7KQ.jpg,small_IANHJ7KQ, Gregory Nava, James Glennon, David Wasco, Hilary Wright, Betsy Blankett Milicevic, Mike Sowa,, 1980s,, 1.78 - Spherical, Film - 35mm, Medium, Insert, Long Lens, Left heavy, Soft light," Daylight, Overcast", Day, Exterior, Location, House, ... North America > Guatemala, Arriflex BL,,, ... Sonora > Tijuana,,
3,THE LORD OF THE RINGS: THE RETURN OF THE KING,2003,"Action, Adventure, Fantasy, War",https://shotdeck.com/assets/images/stills/thumb/small_ECPMRD08.jpg,small_ECPMRD08, Peter Jackson, Andrew Lesnie, Grant Major," Ngila Dickson, Richard Taylor", Jamie Selkirk, Peter Doyle,0.0,," Warm, Desaturated", 2.39 - Spherical, Film - 35mm - Cross Process, Extreme Wide, Establishing shot, Wide, Center, Hard light," Daylight, Sunny", Day, Exterior, Location, City > Castle, ... Middle Earth > Rivendell," Arricam ST, Arriflex 35 IIIc, Arriflex 435, Mitchell, Moviecam Compact, Moviecam SL"," Angenieux Optimo Zooms, Zeiss Ultra Prime", 2K, ... Oceania > New Zealand, CGI,
4,WE THE ANIMALS,2018,Drama,https://shotdeck.com/assets/images/stills/thumb/small_VK0NGKRH.jpg,small_VK0NGKRH, Jeremiah Zagar, Zak Mulligan, Katie Hickman," Emily Batson, Valentine Freeman"," Brian A. Kates, Keiko Deguchi", Seth Ricart,1.0,," Cool, Saturated, Red, Blue", 2.35 - Spherical, Film - 16mm, Extreme Close Up," Dutch angle, Insert, Overhead", Wide, Center, Underlight," Daylight, Overcast", Day, Exterior, Location,, ... United States of America > New York, Arri 416,,, ... Europe > United States of America,,
5,GANJA & HESS,1973,"Drama, Fantasy, Horror",https://shotdeck.com/assets/images/stills/thumb/small_0RA322GU.jpg,small_0RA322GU, Bill Gunn, James E. Hinton, Tom H. John, Scott Barrie, Victor Kanefsky,,0.0, 1970s, White, 1.66, Film - 35mm, Wide, Group shot, Medium, Center, Hard light," Daylight, Sunny", Day, Exterior, Location, Highway, ... United States of America > New York,,,, ... United States of America > New York,,
6,KARNAN,2021,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_ZUQ9RAIU.jpg,small_ZUQ9RAIU, Mari Selvaraj, Theni Eashwar, Tha Ramalingam, Tha Ramalingam, R. K. Selva, R. K. Selva,, 1990s," Warm, Saturated", 2.39 - Spherical, Digital,,,,, Soft light, Daylight, Day, Exterior, Location,, ... Tamil Nadu > Thoothukudi,,,, ... Tamil Nadu > Thoothukudi,,
7,INTERSTELLAR,2014,"Drama, Science Fiction, Space, Travel",https://shotdeck.com/assets/images/stills/thumb/small_8ZSMWBWU.jpg,small_8ZSMWBWU, Christopher Nolan, Hoyte van Hoytema, Nathan Crowley, Mary Zophres, Lee Smith, Walter Volpatto,0.0, Future," Warm, Desaturated, Green, Cyan, Blue", 1.78 - Anamorphic, Film - 35mm, Extreme Wide," Aerial, Establishing shot", Wide, Balanced, Hard light, Daylight, Day, Exterior, Location, Cornfield, ... United States > Colorado, IMAX-MSM 9802," IMAX MK-II Hasselblad Lenses, Mamiya Large Format Lenses"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5203/7203 Vision 3 50D", ... Canada > Alberta,,
8,DEADPOOL,2016,"Action, Adventure, Romance, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_LX4BPIN2.jpg,small_LX4BPIN2, Tim Miller, Ken Seng, Sean Haworth, Angus Strathie, Julian Clarke, Tim Stipan,1.0, 2010s, Cool, 2.39, Digital, Wide, Establishing shot, Medium, Balanced, Soft light," Daylight, Overcast", Day, Exterior, Location, Scrap Yard, ... United States > New York,,,, ... Canada > British Columbia, Composite,
9,BULLHEAD,2011,"Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_Z1YH3DBP.jpg,small_Z1YH3DBP, Michaël R. Roskam, Nicolas Karakatsanis, Walter Brugmans, Margriet Procee, Alain Dessauvage, Olivier Ogneux,, 2010s," Warm, Desaturated", 2.35, Film - 35mm," Extreme Wide, Wide",," Medium, Wide",,," Daylight, Overcast", Day, Exterior, Location, Forest/Woods, ... Belgium > Sint-Truiden, Aaton Penelope, Zeiss Master Primes, 2K, ... Belgium > Liège,,
